id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812058a46550354a962324659,https://www.airbnb.es/rooms/27465283,-5.985274818998133,37.38948297201971,2018-08-28 03:22:04.375000,2018-09-25 00:12:18.575000,airbnb205887291,entire_home,2,3,1,2,
airbnb59d812058a46550354a962324660,https://www.airbnb.es/rooms/20354493,-5.985318467398102,37.38924639584126,2017-08-14 16:15:56.232000,2018-09-25 00:07:35.068000,airbnb89331773,entire_home,0,2,15,3,
airbnb59d812058a46550354a962324661,https://www.airbnb.es/rooms/17939478,-5.985346910261419,37.3890383181175,2017-08-14 16:16:21.735000,2017-10-01 14:10:45.502000,airbnb123035646,private_room,,2,0,3,100
airbnb59d812058a46550354a962324662,https://www.airbnb.es/rooms/12753297,-5.985257179754957,37.38896454441663,2017-08-14 16:14:44.027000,2018-09-25 00:06:25.586000,airbnb67438246,entire_home,2,3,87,3,
airbnb59d812058a46550354a962324663,https://www.airbnb.es/rooms/25792630,-5.9851087644099685,37.38893885334677,2018-08-28 03:21:57.830000,2018-09-25 01:02:24.125000,airbnb174359983,entire_home,2,5,3,1,
airbnb59d812058a46550354a962324664,https://www.airbnb.es/rooms/17009989,-5.985203377563764,37.38916293456456,2017-08-14 16:15:33.996000,2018-09-25 00:05:17.772000,airbnb30012002,private_room,1,2,115,3,
airbnb59d812058a46550354a962324665,https://www.airbnb.es/rooms/17614622,-5.985035252677402,37.389246950712476,2017-08-14 16:16:08.724000,2018-09-25 00:09:53.084000,airbnb58423630,entire_home,2,4,0,6,
airbnb59d812058a46550354a962324666,https://www.airbnb.es/rooms/2487771,-5.985,37.389,2017-08-14 16:15:42.089000,2018-06-01 23:14:14.159000,airbnb12731128,entire_home,0,4,65,3,90
airbnb59d812058a46550354a962324667,https://www.airbnb.es/rooms/25850554,-5.984631167382147,37.389254995689505,2018-08-28 03:21:52.620000,2018-09-25 01:00:24.705000,airbnb51048225,entire_home,2,4,1,2,
airbnb59d812058a46550354a962324668,https://www.airbnb.es/rooms/9385408,-5.984704385919871,37.389243629908904,2017-08-14 16:15:59.939000,2018-09-25 00:07:47.115000,airbnb48690222,entire_home,4,6,48,2,
airbnb59d812058a46550354a962324669,https://www.airbnb.es/rooms/11152092,-5.984826657459488,37.389203053880074,2017-08-14 16:15:56.232000,2018-09-25 00:06:16.452000,airbnb21160136,entire_home,1,3,44,2,
airbnb59d812058a46550354a962324670,https://www.airbnb.es/rooms/1754745,-5.98484190675435,37.389259788792444,2017-08-14 16:16:12.923000,2018-09-25 00:06:52.743000,airbnb9228673,entire_home,3,4,49,3,
airbnb59d812058a46550354a962324671,https://www.airbnb.es/rooms/26936622,-5.984952186684599,37.38931311066509,2018-08-28 03:21:52.620000,2018-09-25 00:07:12.175000,airbnb202677732,entire_home,2,2,0,2,
airbnb59d812058a46550354a962324672,https://www.airbnb.es/rooms/16995474,-5.9852308791101585,37.38977277055272,2017-08-14 16:15:33.995000,2017-09-05 09:56:46.302000,airbnb32279228,entire_home,1,2,67,1,42
airbnb59d812058a46550354a962324673,https://www.airbnb.es/rooms/25314926,-5.9851653694801685,37.389853090514954,2018-05-25 13:17:39.986000,2018-06-01 23:21:16.930000,airbnb191201600,entire_home,4,8,0,1,168
airbnb59d812058a46550354a962324674,https://www.airbnb.es/rooms/9323663,-5.984958100868222,37.38983496253747,2017-08-14 16:15:37.986000,2018-09-25 00:12:08.386000,airbnb48391984,entire_home,2,4,135,2,
airbnb59d812058a46550354a962324675,https://www.airbnb.es/rooms/13538944,-5.98459570336273,37.38969902010317,2017-08-14 16:15:42.089000,2018-06-01 23:13:14.335000,airbnb26349713,entire_home,3,6,52,2,96
airbnb59d812058a46550354a962324676,https://www.airbnb.es/rooms/19113862,-5.984614099847047,37.38981731154212,2017-08-14 16:15:56.232000,2018-06-01 23:20:53.084000,airbnb60075384,private_room,3,6,2,1,319
airbnb59d812058a46550354a962324677,https://www.airbnb.es/rooms/23500019,-5.984768932627115,37.38980687887691,2018-05-25 13:17:37.252000,2018-06-01 23:20:32.419000,airbnb52292450,private_room,1,1,0,2,241
airbnb59d812058a46550354a962324678,https://www.airbnb.es/rooms/21336573,-5.98489235369548,37.38988745566669,2018-05-25 13:17:22.584000,2018-09-25 01:02:32.911000,airbnb154456686,entire_home,3,5,9,2,
airbnb59d812058a46550354a962324679,https://www.airbnb.es/rooms/24710211,-5.984698098496102,37.3901605479561,2018-05-25 13:17:39.986000,2018-06-01 23:21:05.467000,airbnb186744269,private_room,1,2,0,1,66
airbnb59d812058a46550354a962324680,https://www.airbnb.es/rooms/22864423,-5.98497362413879,37.390261944021816,2018-05-05 16:32:05.193000,2018-09-25 02:04:43.938000,airbnb169147208,entire_home,4,12,10,2,
airbnb59d812058a46550354a962324681,https://www.airbnb.es/rooms/7998877,-5.985,37.39,2017-08-14 16:15:05.094000,2018-09-25 01:00:10.769000,airbnb42223300,entire_home,1,4,6,2,
airbnb59d812058a46550354a962324682,https://www.airbnb.es/rooms/27425190,-5.985134898206317,37.38996512676955,2018-08-28 03:22:04.375000,2018-09-25 00:13:22.749000,airbnb206669677,entire_home,2,4,6,2,
airbnb59d812058a46550354a962324683,https://www.airbnb.es/rooms/1037431,-5.985478538285101,37.39015528265983,2017-08-14 16:15:37.986000,2018-09-25 00:10:19.934000,airbnb5711196,entire_home,2,2,245,2,
airbnb59d812058a46550354a962324684,https://www.airbnb.es/rooms/19995881,-5.985447094735349,37.39013460312165,2017-08-14 16:16:17.402000,2018-09-25 01:01:01.301000,airbnb135867871,entire_home,2,4,0,3,
airbnb59d812058a46550354a962324685,https://www.airbnb.es/rooms/17462460,-5.985508618005194,37.39006311819744,2017-08-14 16:15:37.986000,2018-09-25 02:04:16.657000,airbnb93992717,entire_home,2,4,95,2,
airbnb59d812058a46550354a962324686,https://www.airbnb.es/rooms/19260725,-5.985273822724781,37.39004977548484,2017-08-14 16:15:47.060000,2018-09-25 02:04:30.510000,airbnb134864103,entire_home,0,4,0,2,
